,basin,date,well_ID,D,T,EC,pH,TH,TDS,Cl,NH4,NO3,SO4,TOC,As,Fe,Mn,X,Y,year,,,,,,
82,Jianan,8/30/2003,4204,5.315,28.4,719,6.3,324,484,19.1,1.06,9.41,111,2.46,0.001,2.33,0.673,120.364118,22.615768,2003,,,,,,
83,Jianan,5/27/2003,4204,5.546,27.1,639,6.4,257,445,25.8,1.66,7.27,92.6,1.25,0.0006,1.83,0.61,120.364118,22.615768,2003,,,,,,
84,Jianan,3/8/2003,4204,5.546,26.4,599,6.3,244,370,20.2,1.85,5.07,93.3,2.22,0.0011,0.395,0.458,120.364118,22.615768,2003,,,,,,
85,Jianan,11/28/2002,4204,4.063,27.7,743,6.5,334,460,19.8,4.26,3.12,75.1,2.98,0.0035,2.17,0.542,120.364118,22.615768,2002,,,,,,
86,Jianan,9/2/2002,4204,4.305,27.8,759,6.4,344,462,13.9,5.63,1.37,98.8,2.08,0.0041,1.59,0.722,120.364118,22.615768,2002,,,,,,
87,Jianan,6/12/2002,4204,4.703,27.1,620,6.8,212,409,20.9,4.29,1.43,79.1,2.46,0.0037,0.013,0.576,120.364118,22.615768,2002,,,,,,
88,Jianan,3/13/2002,4204,4.68,26.8,779,6.5,343,553,35.9,2.95,1.49,81,2.21,0.029,0.006,0.77,120.364118,22.615768,2002,,,,,,
89,Jianan,10/19/2011,4204,4.362,27.6,760,6.6,386,451,6.9,0.01,1.41,50.5,4.19,0.0003,0.029,0.054,120.364118,22.615768,2011,,,,,,
90,Jianan,4/25/2011,4204,4.703,26.9,614,6.7,292,412,18.9,0.01,0.93,60.8,0.76,0.0003,0.005,0.036,120.364118,22.615768,2011,,,,,,
91,Jianan,10/11/2010,4204,3.38,28.2,726,6.6,410,578,10.5,0.01,0.73,42.1,1.4,0.0006,0.039,0.068,120.364118,22.615768,2010,,,,,,
92,Jianan,5/4/2010,4204,5.126,27.5,437,6.6,178,278,12,0.01,1.36,35.9,0.6,0.0003,0.016,0.086,120.364118,22.615768,2010,,,,,,
93,Jianan,10/19/2009,4204,5.155,27.4,667,6.6,332,416,12.2,0.01,1.87,59,1.01,0.0007,0.006,0.098,120.364118,22.615768,2009,,,,,,
94,Jianan,8/11/2009,4204,4.027,27.3,637,6.6,292,366,8.9,0.01,2.79,28.7,3.06,0.0009,0.022,0.332,120.364118,22.615768,2009,,,,,,
95,Jianan,5/18/2009,4204,4.913,27.3,633,6.6,289,379,9.9,0.01,0.92,42.5,0.98,0.0007,0.007,0.09,120.364118,22.615768,2009,,,,,,
96,Jianan,1/15/2009,4204,4.193,26.1,630,6.8,310,374,11.2,0.01,0.25,32.5,1.2,0.0009,0.005,0.058,120.364118,22.615768,2009,,,,,,
97,Jianan,10/21/2008,4204,3.53,27.5,680,6.7,353,414,6.7,0.01,1.38,33.6,1.22,0.0005,0.011,0.097,120.364118,22.615768,2008,,,,,,
98,Jianan,8/22/2008,4204,3.322,26.8,719,6.7,353,524,7.7,0.01,3.02,36.4,1.68,0.0011,0.009,0.088,120.364118,22.615768,2008,,,,,,
99,Jianan,5/20/2008,4204,4.853,25.9,623,6.6,283,460,15.1,0.01,1.97,52.9,1.75,0.0007,0.012,0.097,120.364118,22.615768,2008,,,,,,
100,Jianan,1/25/2008,4204,4.306,26.3,611,6.8,303,410,15.4,0.01,2.46,55.8,1.27,0.0007,0.028,0.074,120.364118,22.615768,2008,,,,,,
101,Jianan,11/23/2007,4204,3.906,27.1,714,6.7,361,417,10.2,0.02,1.16,45.5,2.09,0.001,0.005,0.084,120.364118,22.615768,2007,,,,,,
102,Jianan,8/22/2007,4204,3.855,27.2,734,6.5,318,449,14.9,0.02,5.31,60.1,1.48,0.0007,0.024,0.076,120.364118,22.615768,2007,,,,,,
